shot,method,category,pixel_auroc,pixel_ap,image_auroc,image_ap
4,A1_L,tubes,0.9919332808372955,0.7607111511966671,0.9664855072463768,0.9865898147601456
4,A1_lambda_0.25,bracket_black,0.9775100265797817,0.17379059198207764,0.7972074468085106,0.8710860115632564
4,A1_lambda_0.25,bracket_brown,0.9127951936642773,0.036703504074843164,0.5769230769230769,0.7279674104876277
4,A1_lambda_0.25,bracket_white,0.9964751031365808,0.10436776954108673,0.8277777777777777,0.8126993644286836
4,A1_lambda_0.25,connector,0.9791671197549546,0.3954852413103045,0.9095238095238095,0.8187448464234179
4,A1_lambda_0.25,metal_plate,0.9809237199242115,0.8855782301176949,1.0,1.0
4,A1_lambda_0.25,tubes,0.9916767957445983,0.7602905533327268,0.9642210144927537,0.9858709392413589
4,A1_lambda_0.50,bracket_black,0.9764825326023843,0.17854628315437357,0.7992021276595744,0.8713037804220166
4,A1_lambda_0.50,bracket_brown,0.9109268908812271,0.03585345199867344,0.5716440422322775,0.7182409236487134
4,A1_lambda_0.50,bracket_white,0.9965192369765922,0.10149048639267992,0.8288888888888889,0.8066114417962716
4,A1_lambda_0.50,connector,0.9781842281779326,0.3924855180427139,0.9071428571428571,0.8167827984463323
4,A1_lambda_0.50,metal_plate,0.9805876126544645,0.8857439811851638,1.0,1.0
4,A1_lambda_0.50,tubes,0.9913254616613761,0.7592642117596095,0.9610507246376812,0.9846433582880609
4,A1_lambda_0.75,bracket_black,0.975330162609758,0.18274625511260995,0.7952127659574468,0.8686038800805388
4,A1_lambda_0.75,bracket_brown,0.9086594241845775,0.034902661077597034,0.5731523378582202,0.7248511225721204
4,A1_lambda_0.75,bracket_white,0.9965439618169346,0.09861599174443789,0.8277777777777777,0.801005563612994
4,A1_lambda_0.75,connector,0.9768821812108961,0.3861610271096966,0.9,0.8044956467435459
4,A1_lambda_0.75,metal_plate,0.980159507662406,0.8855368853129111,1.0,1.0
4,A1_lambda_0.75,tubes,0.9908837596713876,0.7575535550101324,0.9615036231884058,0.9848804557915992
4,TRI_L,bracket_black,0.9777414444481339,0.17453804113958016,0.7726063829787234,0.8604997079948514
4,TRI_L,bracket_brown,0.927289013704493,0.04250927061968247,0.5731523378582202,0.7291641187372001
4,TRI_L,bracket_white,0.9965435909443294,0.13199372337025184,0.8122222222222222,0.80710645233152
4,TRI_L,connector,0.9779548844252857,0.33981918923050636,0.8928571428571429,0.7919326705040991
4,TRI_L,metal_plate,0.9812823054283728,0.8905962616727887,1.0,1.0
4,TRI_L,tubes,0.9900269478881052,0.7269070520594826,0.96875,0.987671648469253
4,TRI_lambda_0.25,bracket_black,0.9767210889107043,0.17841464096026144,0.7819148936170213,0.8693064192734826
4,TRI_lambda_0.25,bracket_brown,0.9255695446906084,0.0415498163245583,0.5708898944193062,0.7231850562611385
4,TRI_lambda_0.25,bracket_white,0.9965575604791229,0.12897217358931282,0.8133333333333334,0.8101950244525542
4,TRI_lambda_0.25,connector,0.9769395898816514,0.33880790606471795,0.8952380952380953,0.7859557307771594
4,TRI_lambda_0.25,metal_plate,0.9807491888381376,0.8900037176750554,1.0,1.0
4,TRI_lambda_0.25,tubes,0.9894389882005947,0.7243506707662343,0.96875,0.987173928111969
4,TRI_lambda_0.50,bracket_black,0.9755646361717943,0.1830087156971291,0.785904255319149,0.8713866715708786
4,TRI_lambda_0.50,bracket_brown,0.923350917738591,0.04051989449864893,0.5723981900452488,0.7228690832929069
4,TRI_lambda_0.50,bracket_white,0.9965628763197966,0.11848692505276966,0.8155555555555556,0.8122816411508578
4,TRI_lambda_0.50,connector,0.9755417314344451,0.3352070514352406,0.8833333333333333,0.7662250681158245
4,TRI_lambda_0.50,metal_plate,0.9801189683372264,0.8890883561909918,1.0,1.0
4,TRI_lambda_0.50,tubes,0.9887509959220968,0.7212443585616038,0.970108695652174,0.9873987441544049
4,TRI_lambda_0.75,bracket_black,0.9742749212361,0.18488458415066955,0.7865691489361702,0.8720918181830472
4,TRI_lambda_0.75,bracket_brown,0.9206872403533268,0.03944962868606836,0.5784313725490197,0.7271638633486043
4,TRI_lambda_0.75,bracket_white,0.9965388932246644,0.1121632869061057,0.8144444444444444,0.8070625569031694
4,TRI_lambda_0.75,connector,0.973817487262019,0.32651092158871525,0.8666666666666667,0.7502971895829039
4,TRI_lambda_0.75,metal_plate,0.9794092170836632,0.8878719225070093,1.0,1.0
4,TRI_lambda_0.75,tubes,0.98797074060413,0.717470267767831,0.9692028985507246,0.986706110818893
4,BAL_L,bracket_black,0.9790758998321881,0.17057817381771437,0.7712765957446809,0.856750469414053
4,BAL_L,bracket_brown,0.9310631074971111,0.04012588036208126,0.5965309200603318,0.7478359417298209
4,BAL_L,bracket_white,0.9969156997914831,0.10544507251345342,0.8355555555555556,0.8307598653766428
4,BAL_L,connector,0.979419466084577,0.34437018739137737,0.8928571428571429,0.790135360671075
4,BAL_L,metal_plate,0.9863852587659386,0.9109283468350028,1.0,1.0
4,BAL_L,tubes,0.9914109396578357,0.7403666045238415,0.970108695652174,0.988561889785359
4,BAL_lambda_0.25,bracket_black,0.9780172208031355,0.17580701286795358,0.7772606382978723,0.8616451470563512
